回別,当選日,抽選数字
第1回,1994年10月7日,191
第2回,1994年10月14日,988
第3回,1994年10月21日,194
第4回,1994年10月28日,105
第5回,1994年11月4日,592
第6回,1994年11月11日,792
第7回,1994年11月18日,708
第8回,1994年11月25日,234
第9回,1994年12月2日,243
第10回,1994年12月9日,340
第11回,1994年12月16日,326
第12回,1994年12月23日,247
第13回,1994年12月30日,229
第14回,1995年1月6日,743
第15回,1995年1月10日,019
第16回,1995年1月13日,179
第17回,1995年1月17日,475
第18回,1995年1月20日,291
第19回,1995年1月24日,852
第20回,1995年1月27日,502
第21回,1995年1月31日,558
第22回,1995年2月3日,951
第23回,1995年2月7日,912
第24回,1995年2月10日,039
第25回,1995年2月14日,458
第26回,1995年2月17日,984
第27回,1995年2月21日,917
第28回,1995年2月24日,789
第29回,1995年2月28日,589
第30回,1995年3月3日,725
第31回,1995年3月7日,073
第32回,1995年3月10日,547
第33回,1995年3月14日,063
第34回,1995年3月17日,634
第35回,1995年3月21日,333
第36回,1995年3月24日,405
第37回,1995年3月28日,168
第38回,1995年3月31日,389
第39回,1995年4月4日,587
第40回,1995年4月7日,304
第41回,1995年4月11日,048
第42回,1995年4月14日,228
第43回,1995年4月18日,922
第44回,1995年4月21日,697
第45回,1995年4月25日,970
第46回,1995年4月28日,298
第47回,1995年5月2日,989
第48回,1995年5月5日,202
第49回,1995年5月9日,476
第50回,1995年5月12日,042
第51回,1995年5月16日,802
第52回,1995年5月19日,717
第53回,1995年5月23日,889
第54回,1995年5月26日,226
第55回,1995年5月30日,728
第56回,1995年6月2日,929
第57回,1995年6月6日,836
第58回,1995年6月9日,383
第59回,1995年6月13日,410
第60回,1995年6月16日,980
第6094回,2022年11月30日,589
第6093回,2022年11月29日,386
第6092回,2022年11月28日,754
第6091回,2022年11月25日,424
第6090回,2022年11月24日,438
第6089回,2022年11月23日,533
第6088回,2022年11月22日,348
第6087回,2022年11月21日,590
第6086回,2022年11月18日,947
第6085回,2022年11月17日,930
第6084回,2022年11月16日,824
第6083回,2022年11月15日,641
第6082回,2022年11月14日,659
第6081回,2022年11月11日,754
第6080回,2022年11月10日,394
第6079回,2022年11月9日,054
第6078回,2022年11月8日,800
第6077回,2022年11月7日,089
第6076回,2022年11月4日,763
第6075回,2022年11月3日,065
第6074回,2022年11月2日,746
第6073回,2022年11月1日,281
第6072回,2022年10月31日,986
第6071回,2022年10月28日,849
第6070回,2022年10月27日,850
第6069回,2022年10月26日,605
第6068回,2022年10月25日,046
第6067回,2022年10月24日,030
第6066回,2022年10月21日,570
第6065回,2022年10月20日,804
第6064回,2022年10月19日,002
第6063回,2022年10月18日,809
第6062回,2022年10月17日,763
第6061回,2022年10月14日,595
第6060回,2022年10月13日,280
第6059回,2022年10月12日,630
第6058回,2022年10月11日,601
第6057回,2022年10月10日,139
第6056回,2022年10月7日,031
第6055回,2022年10月6日,432
第6054回,2022年10月5日,146
第6053回,2022年10月4日,009
第6052回,2022年10月3日,394
第6051回,2022年9月30日,125
第6050回,2022年9月29日,274
第6049回,2022年9月28日,727
第6048回,2022年9月27日,443
第6047回,2022年9月26日,222
第6046回,2022年9月23日,278
第6045回,2022年9月22日,595
第6044回,2022年9月21日,281
第6043回,2022年9月20日,232
第6042回,2022年9月19日,445
第6041回,2022年9月16日,979
第6040回,2022年9月15日,988
第6039回,2022年9月14日,318
第6038回,2022年9月13日,170
第6037回,2022年9月12日,411
第6036回,2022年9月9日,566
第6035回,2022年9月8日,020
第6034回,2022年9月7日,892
第6033回,2022年9月6日,114
第6032回,2022年9月5日,591
第6031回,2022年9月2日,347
第6030回,2022年9月1日,353
第6029回,2022年8月31日,685
第6028回,2022年8月30日,879
第6027回,2022年8月29日,988
第6026回,2022年8月26日,514
第6025回,2022年8月25日,252
第6024回,2022年8月24日,877
第6023回,2022年8月23日,048
第6022回,2022年8月22日,849
第6021回,2022年8月19日,462
第6020回,2022年8月18日,302
第6019回,2022年8月17日,287
第6018回,2022年8月16日,624
第6017回,2022年8月15日,033
第6016回,2022年8月12日,731
第6015回,2022年8月11日,802
第6014回,2022年8月10日,257
第6013回,2022年8月9日,498
第6012回,2022年8月8日,546
第6011回,2022年8月5日,509
第6010回,2022年8月4日,475
第6009回,2022年8月3日,818
第6008回,2022年8月2日,890
第6007回,2022年8月1日,827
第6006回,2022年7月29日,705
第6005回,2022年7月28日,691
第6004回,2022年7月27日,047
第6003回,2022年7月26日,208
第6002回,2022年7月25日,370
第6001回,2022年7月22日,414
第6000回,2022年7月21日,217
第5999回,2022年7月20日,941
第5998回,2022年7月19日,459
第5997回,2022年7月18日,994
第5996回,2022年7月15日,359
第5995回,2022年7月14日,949
第5994回,2022年7月13日,689
第5993回,2022年7月12日,043
第5992回,2022年7月11日,606
第5991回,2022年7月8日,641
第5990回,2022年7月7日,628
第5989回,2022年7月6日,771
第5988回,2022年7月5日,640
第5987回,2022年7月4日,671
第5986回,2022年7月1日,089
第5985回,2022年6月30日,134
第5984回,2022年6月29日,483
第5983回,2022年6月28日,098
第5982回,2022年6月27日,953
第5981回,2022年6月24日,959
第5980回,2022年6月23日,844
第5979回,2022年6月22日,377
第5978回,2022年6月21日,445
第5977回,2022年6月20日,112
第5976回,2022年6月17日,087
第5975回,2022年6月16日,597
第5974回,2022年6月15日,492
第5973回,2022年6月14日,753
第5972回,2022年6月13日,272
第5971回,2022年6月10日,274
第5970回,2022年6月9日,415
第5969回,2022年6月8日,640
第5968回,2022年6月7日,936
第5967回,2022年6月6日,739
第5966回,2022年6月3日,677
第5965回,2022年6月2日,044
第5964回,2022年6月1日,030
第5963回,2022年5月31日,790
第5962回,2022年5月30日,250
第5961回,2022年5月27日,431
第5960回,2022年5月26日,544
第5959回,2022年5月25日,940
第5958回,2022年5月24日,123
第5957回,2022年5月23日,319
第5956回,2022年5月20日,941
第5955回,2022年5月19日,603
第5954回,2022年5月18日,007
第5953回,2022年5月17日,150
第5952回,2022年5月16日,981
第5951回,2022年5月13日,612
第5950回,2022年5月12日,264
第5949回,2022年5月11日,713
第5948回,2022年5月10日,408
第5947回,2022年5月9日,283
第5946回,2022年5月6日,529
第5945回,2022年5月5日,655
第5944回,2022年5月4日,394
第5943回,2022年5月3日,985
第5942回,2022年5月2日,468
第5941回,2022年4月29日,226
第5940回,2022年4月28日,621
第5939回,2022年4月27日,183
第5938回,2022年4月26日,939
第5937回,2022年4月25日,696
第5936回,2022年4月22日,193
第5935回,2022年4月21日,040
第5934回,2022年4月20日,162
第5933回,2022年4月19日,124
第5932回,2022年4月18日,950
第5931回,2022年4月15日,451
第5930回,2022年4月14日,859
第5929回,2022年4月13日,882
第5928回,2022年4月12日,338
第5927回,2022年4月11日,391
第5926回,2022年4月8日,683
第5925回,2022年4月7日,622
第5924回,2022年4月6日,922
第5923回,2022年4月5日,106
第5922回,2022年4月4日,060
第5921回,2022年4月1日,194
第5920回,2022年3月31日,733
第5919回,2022年3月30日,522
第5918回,2022年3月29日,515
第5917回,2022年3月28日,943
第5916回,2022年3月25日,928
第5915回,2022年3月24日,959
第5914回,2022年3月23日,028
第5913回,2022年3月22日,428
第5912回,2022年3月21日,133
第5911回,2022年3月18日,529
第5910回,2022年3月17日,798
第5909回,2022年3月16日,567
第5908回,2022年3月15日,805
第5907回,2022年3月14日,552
第5906回,2022年3月11日,790
第5905回,2022年3月10日,920
第5904回,2022年3月9日,516
第5903回,2022年3月8日,348
第5902回,2022年3月7日,493
第5901回,2022年3月4日,432
第5900回,2022年3月3日,907
第5899回,2022年3月2日,735
第5898回,2022年3月1日,463
第5897回,2022年2月28日,358
第5896回,2022年2月25日,951
第5895回,2022年2月24日,811
第5894回,2022年2月23日,520
第5893回,2022年2月22日,481
第5892回,2022年2月21日,991
第5891回,2022年2月18日,098
第5890回,2022年2月17日,719
第5889回,2022年2月16日,494
第5888回,2022年2月15日,280
第5887回,2022年2月14日,973
第5886回,2022年2月11日,888
第5885回,2022年2月10日,577
第5884回,2022年2月9日,008
第5883回,2022年2月8日,355
第5882回,2022年2月7日,138
第5881回,2022年2月4日,094
第5880回,2022年2月3日,839
第5879回,2022年2月2日,160
第5878回,2022年2月1日,372
第5877回,2022年1月31日,125
第5876回,2022年1月28日,355
第5875回,2022年1月27日,995
第5874回,2022年1月26日,988
第5873回,2022年1月25日,607
第5872回,2022年1月24日,207
第5871回,2022年1月21日,597
第5870回,2022年1月20日,739
第5869回,2022年1月19日,330
第5868回,2022年1月18日,118
第5867回,2022年1月17日,529
第5866回,2022年1月14日,946
第5865回,2022年1月13日,387
第5864回,2022年1月12日,372
第5863回,2022年1月11日,906
第5862回,2022年1月10日,758
第5861回,2022年1月7日,698
第5860回,2022年1月6日,201
第5859回,2022年1月5日,917
第5858回,2022年1月4日,394
第5857回,2021年12月30日,131
第5856回,2021年12月29日,737
第5855回,2021年12月28日,553
第5854回,2021年12月27日,692
第5853回,2021年12月24日,069
第5852回,2021年12月23日,486
第5851回,2021年12月22日,365
第5850回,2021年12月21日,858
第5849回,2021年12月20日,245
第5848回,2021年12月17日,050
第5847回,2021年12月16日,074
第5846回,2021年12月15日,728
第5845回,2021年12月14日,702
第5844回,2021年12月13日,418
第5843回,2021年12月10日,540
第5842回,2021年12月9日,398
第5841回,2021年12月8日,570
第5840回,2021年12月7日,871
第5839回,2021年12月6日,075
第5838回,2021年12月3日,856
第5837回,2021年12月2日,398
第5836回,2021年12月1日,126
